School_Year,Date,Day,School,Calendar_or_Scope,Closure_Type,Event,Parent_Teacher_Conference,Full_Day_No_School,Verification_Status,Data_Coverage,Notes,Source_URL,Secondary_Source_URL
2026-27,2027-02-12,Friday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-02-15,Monday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday in observance of Presidents Day,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-02-15,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,School Closure,School closed — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-02-26,Friday,Durham Academy,All students,Conference,Family Conferences,Yes,Yes,Official,Complete,Conference designation is explicit on the all-school calendar.,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-05,Friday,Durham Academy,No classes; division-specific wording on all-school calendar,Professional Development / Workday,Middle School Professional Development / Faculty Work Day,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-08,Monday,Durham Academy,All students,Break,Spring Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-09,Tuesday,Durham Academy,All students,Break,Spring Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-10,Wednesday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday in observance of Eid al-Fitr,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-03-10,Wednesday,Durham Academy,All students,Break,Spring Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-11,Thursday,Durham Academy,All students,Break,Spring Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-12,Friday,Durham Academy,All students,Break,Spring Break,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-22,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Spring break / annual leave,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-23,Tuesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Spring break / annual leave,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-24,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Spring break / annual leave,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-24,Wednesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,School closed / break — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-03-25,Thursday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Annual Leave,Spring break / annual leave,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-25,Thursday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,School closed / break — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-03-26,Friday,Durham Academy,All students,Holiday,Good Friday,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-26,Friday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Spring holiday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-26,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,School closed / break — event title not publicly exposed,Not stated publicly,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-03-29,Monday,Chapel Hill-Carrboro City Schools,All students,Break,Spring Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-29,Monday,Durham Academy,No classes; division-specific wording on all-school calendar,Professional Development / Workday,Middle School Work Day / Faculty Professional Development,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-03-30,Tuesday,Chapel Hill-Carrboro City Schools,All students,Break,Spring Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-03-31,Wednesday,Chapel Hill-Carrboro City Schools,All students,Break,Spring Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-04-01,Thursday,Chapel Hill-Carrboro City Schools,All students,Break,Spring Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-04-02,Friday,Chapel Hill-Carrboro City Schools,All students,Break,Spring Break,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-04-05,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-04-09,Friday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-04-21,Wednesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-22,Thursday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday in observance of Passover,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-04-22,Thursday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-23,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-26,Monday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-27,Tuesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-28,Wednesday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Required Teacher Workday,Required Teacher Workday,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
2026-27,2027-04-28,Wednesday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-29,Thursday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-04-30,Friday,Durham Academy,All students,Wellness Day,Wellness Day,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-04-30,Friday,The Lerner School,Lerner Day School (elementary); ECLC schedule may differ,Break,Passover-period school closure,No,Yes,Confirmed via Jewish for Good School's Out schedule,Best-effort public coverage,School's Out schedule explicitly marks Lerner Day School as out; the underlying Lerner event title is not always publicly exposed.,https://www.jewishforgood.org/schools-out-camp,https://www.jewishforgood.org/lerner-calendar
2026-27,2027-05-10,Monday,Chapel Hill-Carrboro City Schools,All students,Teacher Workday,Teacher Workday,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-05-31,Monday,Chapel Hill-Carrboro City Schools,All students,Holiday,Memorial Day,No,Yes,Official / published calendar cross-check,Complete,,https://www.chccs.org/calendar-63,https://calendarstates.com/north-carolina/chapel-hill-carrboro-city-schools/
2026-27,2027-05-31,Monday,Durham Academy,All students,Holiday,Memorial Day,No,Yes,Official,Complete,,https://www.da.org/fs/resource-manager/view/47a6ad0f-0dbb-4710-8dc8-2cd976f82ff0,https://www.da.org/about/calendar
2026-27,2027-05-31,Monday,Durham Public Schools (Traditional Calendar),Traditional-calendar students,Holiday,Memorial Day,No,Yes,Official + cross-check,Complete for traditional calendar,DPS also operates year-round/specialty calendars; those may differ.,https://www.dpsnc.net/o/dps/page/2026-2027-district-calendars,https://www.jewishforgood.org/schools-out-camp
